Miscellaneous,<NUMBER> <NAME> from <PRODUCT> production phoned in regards to the above order The customer did this online and requested trims however this does not show on Easi Admin and didnt seem to add it to the work sheet which they printed <PRODUCT> show the trim but when I checked this <PRODUCT> there is nothing to mention trim Please look into this 
Availability,<NUMBER> <COMPANY> tried to order this <PRODUCT> for delivery on <NUMBER> <DATE> and OSS wouldnt let the customer place the order before <NUMBER> <DATE> It is a stock colour with <COLOUR> furniture not sure if it a blip can you check please 
Pricing,<NUMBER> Can someone please check that this price is definitely correct with no shortfall charge 
Weight,<NUMBER> Can you please advise on the <PRODUCT> weight please and also glass weight 
Cancellation,<NUMBER> I cancelled this order about <NUMBER> <TIME> ago and it isnt in quotes and I cannot find it anywhere I just wanted to change the cills 
Weight,<NUMBER> <COMPANY> <PRODUCT> Weight Can you please find the weight of this <PRODUCT> for me
Access,learn account on OSS All <NAME> has mentioned that he cant access the learn OSS programme from his ipad It works fine from his laptop Can you please let me know whether we have an alternative account that <NAME> can use when training his customers
Gables,learn link for <PRODUCT> <COMPANY> customer id <NUMBER> <NAME> Could I please have the <PRODUCT> tab set up on the <COMPANY> learn OSS account The customer id is <NUMBER> 
Miscellaneous,<NUMBER> Easi Admin Work Details Can you have a look at the below for me please IT I am unable to download Work Details on Easi Admin The following error messages pop up Order Im in is <COMPANY> Log in Im going to a meeting Feel free to team view Ill be back at <NUMBER>
Miscellaneous,<NUMBER> OSS Team Please see below a request from <NAME> in the US I lost a <NUMBER> dollar quote when I changed the project setting color from <COLOUR> to <COLOUR> <EMAIL> <EMAIL> <NUMBER> <NUMBER> <EMAIL> <NUMBER> <NAME> We need to be able to change the frame color in OSS for <PRODUCT> quotes without the error message and loss of the quote
Miscellaneous,<NUMBER> Easi Admin deliveries error EasiAdmin Support Please see the below question from <EMAIL> in advanced Good afternoon Lately I noticed problems in Easi Admin Deliveries It works fine and then this comes up <EMAIL> If I hit Continue it works again but after few clicks it comes up again I restarted my computer and nothing changed Could you please help me with it <NAME> 
Miscellaneous,<NUMBER> Globe Easi Admin EasiAdmin Support Please see the below question from <NAME> CCd in advanced I have a quick question and I was wondering if someone could help me When I go into the globe and choose random <TIME> in the calendar it is showing and error on some On top of that orders that were scheduled on those <TIME> have disappeared [Image] Here is a picture of the error that is showing for your help 
Authorisation,<NUMBER> Can you take a look at this Please can I have authorisation to change the dates in the highlighted boxes on an order in easiadmin <EMAIL> <NAME> <NAME> 
Error,<COMPANY> production screen Cant remember if I asked you to look into this but the ticket bellow is regarding the Color of the jobs on the production screen The <PRODUCT> internet production screen is show the incorrect colours for the fast tracks the <NUMBER> in <COLOUR> is fast track and the <NUMBER> should be in <COLOUR> and the <NUMBER> should be in <NAME> This is happening on and off throughout the whole the <TIME> as well as it not loading <NAME> <NAME> 
Error,<NUMBER> Production screen The below ticket has been raised by <NAME> regarding the production screens Good afternoon My production screen keeps Turning the <COLOUR> jobs <COLOUR> but they should be <COLOUR> Please could you look into it <NAME> <NAME> 
Error,<NUMBER> Error on Picking list documents please can you have a look at the below I have checked the permissions and it looks the same as the <PRODUCT> <PRODUCT> EA account I have some issue with getting a Picking list from EA Can you help with that I got a new EA account previously I was using a <PRODUCT> <PRODUCT> and was all ok <NAME> <NAME> 
Error,<NUMBER> Missing Graphics Easi Admin and OSS are not generating graphics for some configurations 
Error,<NUMBER> EA issues Team I entered a couple payments into EA and it wont flip for complete I keep getting this error message Can you please take a look Order is <NUMBER> and <NUMBER> <NAME> <NAME> 
Documents,<NUMBER> Quote wont download Please could you take a look at this ticket when you have time tomorrow projects <NUMBER> revisions <NUMBER> OSS will not generate documents for this quote 
Error,<STYLE> colour issue This <PRODUCT> is having an issue as well I have duplicated the <STYLE> <PRODUCT> on the project and changed the design to a <NUMBER> pane it will not let me save it <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL> 
EqualGlass,<NUMBER> equal glass sizes Please can you confirm why these <PRODUCT> are not equal glass sizes when we have selected this on oss 
Accounts,<NUMBER> <COMPANY> OSS Accounts Are you able to create a new account on OSS for the above agent Email address is <EMAIL> <EMAIL> Can you please confirm what the password will be so I can let him know He has been using the <EMAIL> <EMAIL> account but this person is no longer employed with <COMPANY> Is it possible to delete this account Will this affect any of the project created under this name <NAME> 
Accounts,<NUMBER> <COMPANY> OSS Quote only Credentials Could you provide credential for quote only for the following company <COMPANY> <PRODUCT> ID <NUMBER> Users <EMAIL> <EMAIL> <EMAIL> <EMAIL> <EMAIL> <EMAIL> 
Accounts,<NUMBER> Glazing Quote Only Links Could I request credential for OSS online quoting system Company ID <NUMBER> Email <EMAIL> <EMAIL> 
Accounts,<NUMBER> <COMPANY> OSS Could you please supply the login details for QUOTE ONLY for the following customer ID <NUMBER> <COMPANY>
Accounts,<NUMBER> <COMPANY> Please provide Live OSS credential for this company Company name was amended due business issues explanatory email below but they are fully trained <EMAIL> <COMPANY> <NUMBER> <NAME>   <NAME> <NAME>   <EMAIL> 
Error,<NUMBER> No Threshold Incorrect Glass sizes The attached order confirmation is showing the wrong glass sizes for <PRODUCT> <PRODUCT> <NUMBER> which has no threshold The sizes on the confirmation do actually match a weathered threshold Ive also attached a CAD drawing done just now Can you please investigate this I can provide more information on the correct deductions to calculate glass sizes if required <NAME> <NAME> Design Support Technician <EMAIL> 
Delivery,<NUMBER> <COMPANY> As per my discussion with <NAME> please amend the above order for awaiting delivery for tomorrow please can you let <NAME> or <NAME> in Logistics know after this has been done so they can ensure a delivery is scheduled for tomorrow <NAME> <NAME> 
Availability,<NUMBER> <PRODUCT> <PRODUCT> Lead Time Can you please amend the lead time on this order to <NUMBER> <TIME> as this is one of our stock panels but Easi Admin still says <NUMBER> <TIME> <NAME> 
Miscellaneous,<COMPANY> IMPORTANT Can we please remove all fastener kits from OSS for <NAME> and if we can prevent it from ever possibly being added onto the order as well This needs to be completed with immediate effect <NAME> <NAME> <NUMBER> <EMAIL> 
Miscellaneous,<COMPANY> <NUMBER> OSS Project Specification On the project spec for <COMPANY> <NUMBER> under <PRODUCT> <PRODUCT> please can you amend the panel colour to be <COLOUR> not <COLOUR> as a standard to match the frames <NAME> 
Template,<COMPANY> Default settings ID <NUMBER> Please can you amend the default setting for <COMPANY> On the <COLOUR> colour coded under the <PRODUCT> <PRODUCT> section please make the hinges <COLOUR> and the panel glazing gasket <COLOUR> <NAME> <NAME> <NUMBER> <NUMBER> <EMAIL> 
Template,<COMPANY> OSS Project Settings Can you please change the gaskets and seals colour from <COLOUR> to <NUMBER> on their <NUMBER> colour coded OSS template for <PRODUCT> <PRODUCT> please <NAME> 
Accounts,<COMPANY> learn login code All I will be going through <PRODUCT> training with <NAME> from <COMPANY> this afternoon Can you please send me a learn login code for the account Its customer id <NUMBER> <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Miscellaneous,<LENGTH> <STYLE> on the Learn platform All Please find below the <LENGTH> <PRODUCT> that I was able to add to the OSS learn platform The live platform is showing <LENGTH> and <LENGTH> options only which I believe is correct I have spoken to <NAME> and he says that we occasionally manufacture <LENGTH> <STYLE> <PRODUCT> as a special request for some customers but we dont manufacture them as a standard offering Could you please confirm this and remove the <LENGTH> option on the <STYLE> learn platform if necessary <NAME> <NAME> <NAME> <NUMBER> <NUMBER> <NUMBER> <NUMBER> <EMAIL> 
Miscellaneous,<NUMBER> <COMPANY> Can you please let me know whether this customer is live <NAME> 
